row['acceleration_mean'], row['acceleration_stdev'], row['pitch1'],row['pitch2'],row['pitch3'],row['roll1'],row['roll2'],row['roll3'],row['sitting'],row['sittingdown'],row['standing'],row['standingup'],row['walking'],row['total_accel_sensor_1'],row['total_accel_sensor_2'],row['total_accel_sensor_4'
1,0,3,5,1,1,2,0,0,1,0,0,0,0,0,1
1,0,3,7,0,0,2,0,0,1,0,0,0,0,0,1
1,1,5,2,1,2,6,0,0,1,0,0,0,0,0,1
1,0,0,5,1,0,3,0,0,1,0,0,0,0,0,0
2,0,1,4,4,2,5,2,0,1,0,0,0,0,0,2
1,0,1,4,3,5,5,0,0,1,0,0,0,0,0,5
1,0,2,0,2,1,0,0,0,1,0,0,0,0,0,3
2,1,0,2,1,1,5,0,0,1,0,0,0,0,0,2
1,0,2,6,0,1,4,0,0,1,0,0,0,0,0,5
1,0,1,4,0,1,1,0,0,1,0,0,0,0,0,3
1,0,2,2,2,1,5,0,0,1,0,0,0,0,0,2
1,1,3,4,0,2,5,0,0,1,0,0,0,0,0,2
1,0,0,5,0,0,3,0,0,1,0,0,0,0,0,3
1,0,3,0,1,2,2,0,0,1,0,0,0,0,0,2
98,98,6,8,0,2,4,3,0,1,0,0,0,0,9,6
44,44,4,8,0,0,6,0,0,1,0,0,0,0,4,3
1,1,1,0,0,1,5,0,0,1,0,0,0,0,0,0
2,0,0,6,4,3,6,0,0,1,0,0,0,0,0,7
1,0,2,4,1,1,0,0,0,1,0,0,0,0,0,3
2,1,1,3,2,0,6,0,0,1,0,0,0,0,0,4
1,0,1,3,0,1,7,0,0,1,0,0,0,0,0,1
1,0,1,0,1,1,3,0,0,1,0,0,0,0,0,2
1,0,1,3,1,2,6,0,0,1,0,0,0,0,0,4
1,0,2,3,0,1,2,0,0,1,0,0,0,0,0,4
1,1,0,2,0,1,5,0,0,1,0,0,0,0,0,1
2,1,2,1,1,2,6,1,0,1,0,0,0,0,0,7
1,0,4,4,0,0,5,0,0,1,0,0,0,0,0,1
99,99,1,4,1,2,3,6,0,1,0,0,0,0,9,1
2,0,5,6,0,1,4,0,0,1,0,0,0,0,0,7
1,0,7,9,1,2,6,1,0,1,0,0,0,0,0,2
2,1,1,2,9,1,6,0,0,1,0,0,0,0,0,0
0,0,0,3,0,2,6,1,0,1,0,0,0,0,0,2
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1,1,0,3,0,2,6,0,0,1,0,0,0,0,0,1
1,0,1,4,1,0,3,0,0,1,0,0,0,0,0,1
1,1,0,1,0,1,5,0,0,1,0,0,0,0,0,1
1,1,0,4,1,2,6,0,0,1,0,0,0,0,0,2
1,0,2,1,0,2,5,1,0,1,0,0,0,0,0,4
1,0,3,2,0,1,4,0,0,1,0,0,0,0,0,2
1,0,8,1,0,1,6,0,0,1,0,0,0,0,0,1
1,1,3,5,0,1,5,1,0,1,0,0,0,0,0,1
0,0,3,3,1,0,6,1,0,1,0,0,0,0,0,2
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,0,3,4,0,1,8,0,0,1,0,0,0,0,0,2
0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
1,0,1,6,0,1,6,0,0,1,0,0,0,0,0,1
1,0,1,4,0,0,6,0,0,1,0,0,0,0,0,0
1,1,1,4,0,2,7,0,0,1,0,0,0,0,0,1
1,1,3,5,2,1,5,0,0,1,0,0,0,0,0,1
0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,1
1,1,0,3,1,0,9,0,0,1,0,0,0,0,0,1
0,0,3,4,1,0,8,0,0,1,0,0,0,0,0,2
1,1,1,5,1,1,0,0,0,1,0,0,0,0,0,1
1,1,0,1,0,0,6,0,0,1,0,0,0,0,0,0
1,0,1,5,0,2,7,1,0,1,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,0,1,5,0,0,1,0,0,0,0,0,2
1,1,0,2,0,0,6,1,0,1,0,0,0,0,0,0
0,0,1,3,1,2,6,1,0,1,0,0,0,0,0,1
1,0,2,2,0,2,3,0,0,1,0,0,0,0,0,2
2,1,2,4,0,2,5,0,0,1,0,0,0,0,0,3
1,0,0,5,1,0,3,0,0,1,0,0,0,0,0,2
1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,3
1,1,1,4,0,1,6,1,0,1,0,0,0,0,0,4
1,0,4,3,0,1,6,0,0,1,0,0,0,0,0,4
0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,1
2,0,2,3,4,3,7,0,0,1,0,0,0,0,0,9
0,0,2,0,1,2,0,0,0,1,0,0,0,0,0,2
2,1,5,4,0,3,7,0,0,1,0,0,0,0,0,8
1,0,2,3,1,0,3,0,0,1,0,0,0,0,0,4
1,1,0,1,0,0,6,0,0,1,0,0,0,0,0,0
1,0,2,3,0,1,6,1,0,1,0,0,0,0,0,6
1,1,0,0,0,0,6,0,0,1,0,0,0,0,0,0
1,0,2,2,0,1,4,0,0,1,0,0,0,0,0,1
1,1,1,2,2,0,5,0,0,1,0,0,0,0,0,0
0,0,3,2,0,0,1,0,0,1,0,0,0,0,0,1
1,1,2,0,0,0,5,0,0,1,0,0,0,0,0,0
1,0,2,5,0,1,5,0,0,1,0,0,0,0,0,4
1,1,1,0,0,0,5,1,0,1,0,0,0,0,0,0
1,0,4,4,0,1,5,1,0,1,0,0,0,0,0,4
2,0,1,1,4,1,4,1,0,1,0,0,0,0,0,1
0,0,4,5,0,1,6,0,0,1,0,0,0,0,0,3
1,1,0,1,0,0,5,0,0,1,0,0,0,0,0,0
0,0,2,3,1,0,7,0,0,1,0,0,0,0,0,2
2,1,0,3,2,0,7,0,0,1,0,0,0,0,0,0
0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,1
0,0,8,1,0,1,2,0,0,1,0,0,0,0,0,4
0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1
1,0,6,7,0,2,8,1,0,1,0,0,0,0,0,6
0,0,3,0,1,1,2,2,0,1,0,0,0,0,0,0
0,0,2,2,0,2,5,0,0,1,0,0,0,0,0,1
0,0,0,0,0,1,2,2,0,1,0,0,0,0,0,0
0,0,5,2,0,3,5,0,0,1,0,0,0,0,0,3
0,0,1,0,1,2,0,2,0,1,0,0,0,0,0,2
1,0,4,2,0,2,4,1,0,1,0,0,0,0,0,6
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1,0,4,2,1,2,6,3,0,1,0,0,0,0,0,4
0,0,1,2,1,1,0,4,0,1,0,0,0,0,0,1
1,1,1,3,0,1,7,0,0,1,0,0,0,0,0,2
0,0,2,0,1,1,0,1,0,1,0,0,0,0,0,0
1,1,3,4,1,1,7,0,0,1,0,0,0,0,0,3
0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0
1,1,3,3,2,1,7,0,0,1,0,0,0,0,0,3
0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1
2,0,4,3,1,2,6,0,0,1,0,0,0,0,0,6
0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
0,0,2,2,0,2,7,4,0,1,0,0,0,0,0,3
0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,1
1,0,3,5,0,1,7,0,0,1,0,0,0,0,0,3
0,0,0,3,1,1,0,1,0,1,0,0,0,0,0,1
1,1,0,2,2,1,7,0,0,1,0,0,0,0,0,1
0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1
1,1,2,4,0,2,7,0,0,1,0,0,0,0,0,5
0,0,2,0,2,1,0,4,0,1,0,0,0,0,0,2
2,1,1,3,1,1,6,1,0,1,0,0,0,0,0,5
1,0,1,5,2,1,1,3,0,1,0,0,0,0,0,3
1,1,0,3,1,1,5,3,0,1,0,0,0,0,0,0
1,0,5,2,0,1,4,0,0,1,0,0,0,0,0,3
1,0,1,2,1,1,0,0,0,1,0,0,0,0,0,2
1,1,0,8,0,0,5,0,0,1,0,0,0,0,0,1
1,0,0,4,1,1,6,2,0,1,0,0,0,0,0,2
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,0,4,1,0,2,7,0,0,1,0,0,0,0,0,2
0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,1
1,0,1,4,1,1,7,4,0,1,0,0,0,0,0,4
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1,0,3,2,0,2,7,3,0,1,0,0,0,0,0,4
0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,1
2,1,3,1,1,1,7,0,0,1,0,0,0,0,0,3
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2,1,0,1,0,0,8,0,0,1,0,0,0,0,0,0
1,0,1,1,1,1,3,0,0,1,0,0,0,0,0,2
0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,1
46,45,5,5,0,2,7,0,0,1,0,0,0,0,4,9
66,67,0,1,0,0,5,0,0,1,0,0,0,0,6,0
0,0,2,8,0,1,3,0,0,1,0,0,0,0,0,2
1,1,3,1,0,0,6,0,0,1,0,0,0,0,0,0
0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
1,0,4,5,0,2,6,0,0,1,0,0,0,0,0,4
0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
0,0,3,5,0,2,8,0,0,1,0,0,0,0,0,4
0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0
0,0,1,1,2,0,0,1,0,1,0,0,0,0,0,1
2,1,1,2,1,0,7,2,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1,0,4,2,3,4,6,0,0,1,0,0,0,0,0,3
40,39,0,2,1,0,7,1,0,1,0,0,0,0,3,2
0,0,2,4,0,0,6,1,0,1,0,0,0,0,0,0
0,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0
0,0,1,2,0,1,7,0,0,1,0,0,0,0,0,2
0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1
2,0,1,6,0,2,8,0,0,1,0,0,0,0,0,5
0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
1,0,2,5,0,2,7,0,0,1,0,0,0,0,0,4
0,0,0,1,3,1,0,5,0,1,0,0,0,0,0,0
1,1,1,3,0,2,7,0,0,1,0,0,0,0,0,2
0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
1,1,3,1,0,2,7,0,0,1,0,0,0,0,0,4
0,0,2,0,1,1,0,5,0,1,0,0,0,0,0,3
1,0,3,3,1,3,6,1,0,1,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,1,2,2,0,0,4,0,1,0,0,0,0,0,1
1,1,0,4,0,0,8,0,0,1,0,0,0,0,0,0
0,0,3,1,2,1,0,5,0,1,0,0,0,0,0,3
2,1,4,4,0,3,8,1,0,1,0,0,0,0,0,5
1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,2
2,1,1,1,0,0,8,0,0,1,0,0,0,0,0,2
0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
2,1,0,3,0,2,0,0,0,1,0,0,0,0,0,2
1,0,2,1,2,1,0,5,0,1,0,0,0,0,0,4
1,1,0,4,0,0,4,0,0,1,0,0,0,0,0,1
9,7,1,3,0,6,8,0,0,1,0,0,0,3,0,2
4,3,1,0,0,3,3,1,0,1,0,0,0,1,0,2
1,1,1,2,0,1,6,0,0,1,0,0,0,0,0,3
0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1
2,1,1,2,0,1,6,0,0,1,0,0,0,0,0,2
0,0,2,1,2,1,0,2,0,1,0,0,0,0,0,1
0,0,5,2,0,1,5,0,0,1,0,0,0,0,0,2
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1,1,6,1,1,1,5,1,0,1,0,0,0,0,0,2
0,0,1,4,1,0,4,0,0,1,0,0,0,0,0,1
21,19,0,1,1,9,8,1,0,1,0,0,0,7,0,0
11,10,0,5,1,4,6,0,0,1,0,0,0,4,0,1
10,8,4,0,0,4,5,0,0,1,0,0,0,3,0,1
0,0,0,2,0,0,8,0,0,1,0,0,0,0,0,2
16,14,2,0,0,5,5,1,0,1,0,0,0,5,0,1
0,0,3,2,0,1,6,0,0,1,0,0,0,0,0,2
0,0,1,0,1,1,4,1,0,1,0,0,0,0,0,0
0,0,4,3,0,1,5,0,0,1,0,0,0,0,0,2
1,1,1,2,0,0,5,0,0,1,0,0,0,0,0,1
1,0,2,2,0,1,7,0,0,1,0,0,0,0,0,2
0,0,2,1,1,1,0,0,0,1,0,0,0,0,0,0
1,1,2,0,2,0,8,0,0,1,0,0,0,0,0,2
0,0,3,1,2,0,4,0,0,1,0,0,0,0,0,0
1,1,0,4,1,0,7,0,0,1,0,0,0,0,0,0
0,0,4,0,0,0,6,0,0,1,0,0,0,0,0,1
17,16,1,3,0,7,6,0,0,1,0,0,0,6,0,1
20,19,2,5,0,9,3,0,0,1,0,0,0,7,0,2
0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1
0,0,3,1,0,3,8,0,0,1,0,0,0,0,0,4
0,0,2,0,0,1,2,0,0,1,0,0,0,0,0,1
16,14,1,0,2,7,7,1,0,1,0,0,0,5,0,2
12,11,0,3,0,5,4,0,0,1,0,0,0,4,0,1
10,8,1,2,0,6,3,0,0,1,0,0,0,3,0,3
19,17,1,1,0,8,7,0,0,1,0,0,0,7,0,5
1,0,2,3,0,1,0,0,0,1,0,0,0,0,0,2
2,1,1,4,0,0,6,0,0,1,0,0,0,0,0,1
1,0,0,2,0,0,5,0,0,1,0,0,0,0,0,1
16,14,1,1,0,7,5,0,0,1,0,0,0,5,0,0
17,15,0,0,1,3,0,4,0,1,0,0,0,6,0,1
12,12,3,0,0,3,0,0,0,1,0,0,0,4,0,1
2,1,2,0,1,1,7,0,0,1,0,0,0,0,0,2
0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,1
9,8,3,2,0,4,6,0,0,1,0,0,0,3,0,3
19,18,0,0,0,4,0,0,0,1,0,0,0,7,0,1
27,24,0,1,1,9,3,5,0,1,0,0,0,9,0,1
15,14,1,0,0,5,4,0,0,1,0,0,0,5,0,0
14,13,0,0,1,5,6,0,0,1,0,0,0,5,0,1
16,15,1,1,0,5,8,0,0,1,0,0,0,6,0,4
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2
1,1,2,1,0,1,8,0,0,1,0,0,0,0,0,3
0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1
2,1,3,2,1,1,7,1,0,1,0,0,0,0,0,2
1,0,1,3,1,0,0,1,0,1,0,0,0,0,0,1
2,1,1,1,0,0,6,0,0,1,0,0,0,0,0,0
1,0,0,1,2,0,0,2,0,1,0,0,0,0,0,0
1,1,0,0,2,0,5,1,0,1,0,0,0,0,0,0
1,0,3,4,1,1,9,0,0,1,0,0,0,0,0,1
0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0
0,0,5,2,0,1,8,0,0,1,0,0,0,0,0,2
0,0,7,0,0,1,0,0,0,1,0,0,0,0,0,0
1,0,4,3,1,1,6,0,0,1,0,0,0,0,0,2
0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1
1,1,2,3,1,1,8,0,0,1,0,0,0,0,0,2
0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0
2,1,0,0,2,0,9,0,0,1,0,0,0,0,0,1
0,0,2,2,1,0,3,0,0,1,0,0,0,0,0,1
1,1,0,0,1,0,6,1,0,1,0,0,0,0,0,1
1,0,3,2,0,1,8,1,0,1,0,0,0,0,0,4
0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
1,0,2,1,1,1,8,0,0,1,0,0,0,0,0,3
0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,6,3,0,2,8,0,0,1,0,0,0,0,0,4
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,0,2,2,0,3,8,0,0,1,0,0,0,0,0,5
1,0,3,1,0,2,3,0,0,1,0,0,0,0,0,1
2,1,3,3,1,0,4,1,0,1,0,0,0,0,0,2
0,0,2,0,0,0,4,0,0,1,0,0,0,0,0,3
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2,1,1,2,0,1,7,0,0,1,0,0,0,0,0,4
0,0,1,3,2,0,0,0,0,1,0,0,0,0,0,1
1,1,0,2,1,0,8,2,0,1,0,0,0,0,0,0
0,0,4,1,2,0,0,0,0,1,0,0,0,0,0,0
1,0,0,1,1,0,4,0,0,1,0,0,0,0,0,2
1,0,4,2,0,1,3,0,0,1,0,0,0,0,0,3
0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1,0,1,2,0,2,8,0,0,1,0,0,0,0,0,3
1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2
1,0,1,3,2,1,8,0,0,1,0,0,0,0,0,2
0,0,1,2,0,0,6,0,0,1,0,0,0,0,0,0
1,0,2,2,0,1,6,0,0,1,0,0,0,0,0,0
0,0,1,1,1,1,8,0,0,1,0,0,0,0,0,2
0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
1,0,1,2,0,1,8,0,0,1,0,0,0,0,0,3
0,0,2,3,0,1,0,0,0,1,0,0,0,0,0,1
1,1,1,1,0,1,7,0,0,1,0,0,0,0,0,2
0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2
1,1,0,3,0,1,4,0,0,1,0,0,0,0,0,1
0,0,0,3,1,0,5,0,0,1,0,0,0,0,0,1
1,1,1,0,0,0,7,0,0,1,0,0,0,0,0,0
0,0,4,3,0,1,8,0,0,1,0,0,0,0,0,2
0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,2
1,0,2,3,0,2,8,0,0,1,0,0,0,0,0,6
0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0
1,0,2,2,6,2,8,1,0,1,0,0,0,0,0,5
0,0,3,0,1,1,0,0,0,1,0,0,0,0,0,1
1,1,2,4,1,0,7,0,0,1,0,0,0,0,0,2
0,0,1,4,1,0,7,0,0,1,0,0,0,0,0,2
1,0,4,0,0,1,5,0,0,1,0,0,0,0,0,1
1,0,4,2,0,1,7,0,0,1,0,0,0,0,0,3
0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
1,0,9,2,1,3,6,1,0,1,0,0,0,0,0,6
0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,0,1,4,0,0,1,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,0,4,4,2,2,6,1,0,1,0,0,0,0,0,1
0,0,2,0,2,1,0,1,0,1,0,0,0,0,0,0
1,0,1,2,0,1,8,0,0,1,0,0,0,0,0,1
1,0,0,1,1,0,3,1,0,1,0,0,0,0,0,0
1,1,1,2,0,0,6,1,0,1,0,0,0,0,0,0
0,0,6,4,0,1,7,0,0,1,0,0,0,0,0,2
1,0,2,0,0,0,5,0,0,1,0,0,0,0,0,0
1,0,2,1,0,1,7,0,0,1,0,0,0,0,0,3
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2,1,2,3,0,1,9,0,0,1,0,0,0,0,0,2
1,0,2,1,0,1,0,0,0,1,0,0,0,0,0,2
0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0
0,0,4,0,0,0,3,0,0,1,0,0,0,0,0,0
1,1,1,1,0,0,7,0,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,0,3,0,2,2,6,0,0,1,0,0,0,0,0,4
1,0,0,1,5,1,5,0,0,1,0,0,0,0,0,0
0,0,4,1,0,1,7,0,0,1,0,0,0,0,0,1
1,0,2,0,0,1,5,0,0,1,0,0,0,0,0,1
1,0,2,1,1,1,8,0,0,1,0,0,0,0,0,3
0,0,2,3,1,0,0,0,0,1,0,0,0,0,0,1
1,1,0,0,0,0,6,0,0,1,0,0,0,0,0,0
1,0,2,1,0,1,9,0,0,1,0,0,0,0,0,3
0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0
0,0,1,1,0,0,7,1,0,1,0,0,0,0,0,2
0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,1
1,0,2,2,1,2,8,1,0,1,0,0,0,0,0,2
0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
2,0,5,5,0,1,3,0,0,1,0,0,0,0,0,3
0,0,1,1,1,0,4,1,0,1,0,0,0,0,0,0
1,0,0,0,0,0,8,1,0,1,0,0,0,0,0,1
0,0,6,0,0,1,8,0,0,1,0,0,0,0,0,3
1,0,2,1,0,0,3,0,0,1,0,0,0,0,0,2
1,0,6,2,3,3,7,2,0,1,0,0,0,0,0,4
0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,2
1,0,2,1,1,2,8,1,0,1,0,0,0,0,0,6
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,0,3,2,0,1,8,0,0,1,0,0,0,0,0,4
0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1
1,1,3,3,0,1,8,0,0,1,0,0,0,0,0,2
0,0,4,4,0,0,8,0,0,1,0,0,0,0,0,2
0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0
1,0,2,3,1,1,8,0,0,1,0,0,0,0,0,4
1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1
1,0,2,2,2,2,8,1,0,1,0,0,0,0,0,4
1,0,0,0,0,0,3,4,0,1,0,0,0,0,0,0
0,0,5,2,0,1,7,0,0,1,0,0,0,0,0,3
0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,1
1,0,7,2,0,1,8,2,0,1,0,0,0,0,0,4
0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0
2,1,2,3,0,1,8,0,0,1,0,0,0,0,0,4
1,0,3,3,1,1,3,0,0,1,0,0,0,0,0,2
1,1,0,2,0,0,8,0,0,1,0,0,0,0,0,1
0,0,2,2,0,0,3,0,0,1,0,0,0,0,0,1
0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0
1,0,4,2,1,2,6,0,0,1,0,0,0,0,0,3
1,0,2,3,0,1,4,0,0,1,0,0,0,0,0,1
1,1,0,1,1,0,8,0,0,1,0,0,0,0,0,1
0,0,0,3,0,0,4,0,0,1,0,0,0,0,0,1
1,1,1,1,0,0,8,0,0,1,0,0,0,0,0,0
0,0,2,1,0,0,7,0,0,1,0,0,0,0,0,1
